SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532372,VIRINCHI    ,X ,Q,50.00,53.00,48.50,50.85,50.85,49.70,163,18076,912743.00,
532373,WEPSOLN     ,X ,Q,16.05,17.80,16.00,16.05,16.05,16.75,9,2610,41798.00,
532374,STER TECH   ,A ,Q,150.70,154.00,145.25,149.45,149.40,150.25,2338,126534,19143771.00,
532375,TIPSINDUSTR ,B ,Q,54.75,55.00,54.75,55.00,55.00,54.50,8,100,5497.00,
532376,MRO-TEK     ,T ,Q,22.20,22.20,21.90,21.90,21.90,22.60,3,500,10956.00,
532380,BABA ARTS   ,X ,Q,2.80,2.99,2.70,2.98,2.98,2.95,23,5252,14760.00,
532382,BALAJI TELE.,B ,Q,54.15,55.30,54.15,54.95,55.30,53.40,8,102,5580.00,
532384,TYCHE INDS  ,X ,Q,40.15,45.00,40.10,43.95,44.00,42.25,22,5312,226380.00,
532386,CALIFORN.SOF,B ,Q,18.15,18.15,16.55,16.75,16.80,17.40,56,17061,290429.00,
532387,PRITISHN COM,B ,Q,15.79,15.79,15.05,15.05,15.05,14.96,4,1010,15940.00,
532388,INDIAN OVER.,A ,Q,10.65,10.93,10.65,10.69,10.66,10.66,132,65177,703377.00,
532390,TAJ GVK HOTL,B ,Q,153.90,165.00,153.90,161.75,162.05,155.05,54,832,133145.00,
532391,OPTO CIRCUIT,B ,Q,4.70,5.16,4.61,5.12,5.11,4.51,381,239355,1190447.00,
532395,AXISCADES   ,B ,Q,60.60,64.60,60.60,63.90,63.90,60.10,285,29012,1810569.00,
532398,UMESL       ,B ,Q,1.39,1.39,1.38,1.38,1.38,1.45,5,3732,5177.00,
532400,BSOFT       ,A ,Q,72.45,74.85,70.80,74.40,74.80,72.30,466,62586,4520082.00,
532402,USGTECH     ,X ,Q,2.81,2.81,2.81,2.81,2.81,2.81,1,2,5.00,
532404,SAVEN TECHNO,X ,Q,17.00,18.00,16.30,17.90,17.90,16.35,33,3436,59674.00,
532406,AVANTEL LTD ,X ,Q,200.00,203.95,195.00,200.15,200.15,204.95,22,762,151303.00,
532407,MOSCHIP     ,X ,Q,13.00,14.20,12.50,13.85,13.85,13.75,30,33810,470961.00,
532408,MEGASOFT LTD,T ,Q,5.87,6.05,5.71,6.01,6.00,5.81,17,2139,12607.00,
532410,TRANSCORP IN,X ,Q,15.50,16.45,15.10,16.40,16.40,15.90,11,610,9337.00,
532411,VISESH INFO.,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,4,901,171.00,
532413,CEREBRA INTE,B ,Q,22.00,22.10,21.30,21.70,21.70,22.25,30,16959,362385.00,
532416,MID-DAY MULT,B ,Q,11.15,11.72,10.90,11.72,11.72,11.18,6,275,3040.00,
532418,ANDHRA BANK ,A ,Q,20.00,20.50,20.00,20.25,20.25,20.00,198,60597,1224315.00,
532419,SMARTLINK   ,T ,Q,100.00,100.00,97.30,98.70,99.00,98.40,49,9180,905550.00,
532424,GODREJ CONS ,A ,Q,613.50,631.30,612.50,622.35,622.35,613.05,1392,23110,14416332.00,
532425,GENUSPRIME  ,X ,Q,1.91,1.91,1.91,1.91,1.91,2.01,2,150,286.00,
532430,BF UTILI    ,B ,Q,159.90,162.95,156.90,160.25,160.25,158.40,1820,91792,14747666.00,
532432,UNITD SPR   ,B ,Q,588.60,600.00,584.00,592.35,593.60,585.65,3352,70759,42030023.00,
532435,SANINFRA    ,X ,Q,29.20,29.20,29.20,29.20,29.20,30.70,1,10,292.00,
532439,OLECTRA     ,B ,Q,194.05,197.25,193.75,193.95,193.75,195.85,48,1628,317185.00,
532440,MPS LTD     ,B ,Q,485.95,490.00,458.05,481.05,481.05,456.05,65,251,117669.00,
532441,RNBOWDENIM  ,XT,Q,5.40,5.40,5.40,5.40,5.40,5.44,1,1,5.00,
532443,CERA SANITAR,A ,Q,2410.95,2519.00,2359.60,2462.40,2519.00,2432.35,562,1645,4045573.00,
